"age","workclass","fnlwgt","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","y"
39," State-gov",77516,13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",2174,0,40," United-States"," <=50K"
38," Private",215646,9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
37," Private",284582,14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
23," Private",122272,13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
34," Private",245487,4," Married-civ-spouse"," Transport-moving"," Husband"," Amer-Indian-Eskimo"," Male",0,0,45," Mexico"," <=50K"
43," Self-emp-not-inc",292175,14," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,45," United-States"," >50K"
54," Private",302146,9," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,20," United-States"," <=50K"
35," Federal-gov",76845,5," Married-civ-spouse"," Farming-fishing"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
59," Private",109015,9," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
39," Private",367260,9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,80," United-States"," <=50K"
49," Private",193366,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
23," Local-gov",190709,12," Never-married"," Protective-serv"," Not-in-family"," White"," Male",0,0,52," United-States"," <=50K"
30," Federal-gov",59951,10," Married-civ-spouse"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
19," Private",544091,9," Married-AF-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,25," United-States"," <=50K"
31," Private",507875,5," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,43," United-States"," <=50K"
49," Private",94638,9," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
53," Private",144361,9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,38," United-States"," <=50K"
18," Private",226956,9," Never-married"," Other-service"," Own-child"," White"," Female",0,0,30," ?"," <=50K"
47," Private",51835,15," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,1902,60," Honduras"," >50K"
50," Federal-gov",251585,13," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,55," United-States"," >50K"
43," Private",237993,10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"
42," Private",116632,16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"
36," Private",155537,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
53," Private",169846,9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," >50K"
25," ?",200681,10," Never-married"," ?"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
79," Private",124744,10," Married-civ-spouse"," Prof-specialty"," Other-relative"," White"," Male",0,0,20," United-States"," <=50K"
40," Private",32214,12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
67," ?",212759,6," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,2," United-States"," <=50K"
44," Private",343591,9," Divorced"," Craft-repair"," Not-in-family"," White"," Female",14344,0,40," United-States"," >50K"
53," Private",346253,9," Divorced"," Sales"," Own-child"," White"," Female",0,0,35," United-States"," <=50K"
43," Federal-gov",410867,16," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States"," >50K"
57," Private",249977,11," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
34," Local-gov",226296,13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," >50K"
76," Private",124191,14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
44," Private",198282,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,60," United-States"," >50K"
17," ?",304873,6," Never-married"," ?"," Own-child"," White"," Female",34095,0,32," United-States"," <=50K"
38," Private",65324,15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
56," Self-emp-not-inc",335605,9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,1887,50," Canada"," >50K"
28," Private",377869,10," Married-civ-spouse"," Sales"," Wife"," White"," Female",4064,0,25," United-States"," <=50K"
36," Private",102864,9," Never-married"," Machine-op-inspct"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
53," Private",95647,5," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
47," Private",287828,13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," >50K"
31," Private",114937,12," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
35," ?",129305,9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
38," Self-emp-not-inc",120985,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",4386,0,35," United-States"," <=50K"
37," Private",254202,13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
27," Private",163127,11," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,35," United-States"," <=50K"
20," Private",34310,10," Never-married"," Sales"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
49," Private",81973,10," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"
61," Self-emp-inc",66614,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",232782,10," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
22," Private",175374,10," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,24," United-States"," <=50K"
36," Private",108293,9," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,24," United-States"," <=50K"
34," Private",198183,9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
48," Private",187715,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,46," United-States"," <=50K"
29," Private",191535,9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
42," Private",228456,13," Separated"," Other-service"," Other-relative"," Black"," Male",0,0,50," United-States"," <=50K"
18," Private",25828,7," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,16," United-States"," <=50K"
28," State-gov",149624,13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
27," Private",253814,9," Married-spouse-absent"," Sales"," Unmarried"," White"," Female",0,0,25," United-States"," <=50K"
21," Private",312956,9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
18," Private",183930,9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,12," United-States"," <=50K"
41," Self-emp-not-inc",143129,13," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
38," Private",155222,10," Divorced"," Machine-op-inspct"," Not-in-family"," Black"," Female",0,0,28," United-States"," <=50K"
35," Private",138992,14," Married-civ-spouse"," Prof-specialty"," Other-relative"," White"," Male",7298,0,40," United-States"," >50K"
24," Self-emp-not-inc",32921,9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
26," Private",397317,14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,1876,40," United-States"," <=50K"
51," Private",259323,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
42," Local-gov",254817,10," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,1340,40," United-States"," <=50K"
37," State-gov",48211,9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
36," Private",128757,13," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",7298,0,36," United-States"," >50K"
35," Private",36270,9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
60," Private",85815,9," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
31," Private",197860,10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
66," Self-emp-not-inc",167687,9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",1409,0,50," United-States"," <=50K"
75," Private",314209,11," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,20," Columbia"," <=50K"
65," Private",176796,9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
33," Private",110978,10," Divorced"," Craft-repair"," Other-relative"," Other"," Female",0,0,40," United-States"," <=50K"
23," Private",115458,9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
41," Self-emp-not-inc",196001,9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,20," United-States"," <=50K"
24," State-gov",273905,12," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
20," ?",119156,10," Never-married"," ?"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
38," Private",179488,10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,1741,40," United-States"," <=50K"
56," Private",203580,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," ?"," <=50K"
58," Private",236596,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,45," United-States"," >50K"
26," Private",378322,7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
37," Self-emp-inc",257295,10," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,75," Thailand"," >50K"
35," Private",190174,10," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
25," Private",193787,10," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
24," Private",279472,10," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",7298,0,48," United-States"," >50K"
60," Private",173960,13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,42," United-States"," <=50K"
21," Private",205759,9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
57," Federal-gov",425161,14," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,40," United-States"," >50K"
25," Private",371987,13," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
50," Private",193884,4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Ecuador"," <=50K"
31," Private",127595,9," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
29," Local-gov",220419,13," Never-married"," Protective-serv"," Not-in-family"," White"," Male",0,0,56," United-States"," <=50K"
65," Private",111095,9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,16," United-States"," <=50K"
48," Private",146268,13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",7688,0,40," United-States"," >50K"
21," Private",153718,10," Never-married"," Other-service"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,25," United-States"," <=50K"
24," Private",303296,10," Married-civ-spouse"," Adm-clerical"," Wife"," Asian-Pac-Islander"," Female",0,0,40," Laos"," <=50K"
26," Private",193945,12," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
24," Private",191954,10," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
76," Self-emp-not-inc",174309,14," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,10," United-States"," <=50K"
26," Private",224563,13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
53," Private",242606,9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
38," Private",296478,11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7298,0,40," United-States"," >50K"
67," ?",36135,7," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
30," ?",151989,11," Divorced"," ?"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
31," Private",156464,13," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
59," ?",372020,13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," >50K"
40," Private",96129,11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," >50K"
26," Self-emp-not-inc",117125,5," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Portugal"," <=50K"
39," Private",481060,9," Divorced"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
33," Private",267404,9," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
46," Self-emp-not-inc",80914,14," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
54," Private",174319,9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",344991,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," Private",108699,10," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
23," Private",396099,9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,25," United-States"," <=50K"
29," Private",134152,9," Separated"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
34," State-gov",98101,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,45," ?"," >50K"
44," Private",115562,10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
50," State-gov",288353,13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," >50K"
34," Private",227689,11," Divorced"," Tech-support"," Not-in-family"," White"," Female",0,0,64," United-States"," <=50K"
41," Private",445382,14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,65," United-States"," >50K"
46," Self-emp-not-inc",317253,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
24," Private",241951,9," Never-married"," Handlers-cleaners"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
33," Private",118500,10," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
52," Private",190762,2," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
34," Local-gov",243867,7," Separated"," Machine-op-inspct"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
34," State-gov",240283,9," Divorced"," Transport-moving"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
32," State-gov",92003,13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," >50K"
29," Private",188401,9," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
33," Private",228528,6," Never-married"," Craft-repair"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
63," Self-emp-inc",222289,9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
40," Self-emp-not-inc",204116,13," Married-spouse-absent"," Prof-specialty"," Not-in-family"," White"," Female",2174,0,40," United-States"," <=50K"
30," Private",29662,12," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,25," United-States"," >50K"
27," Private",116358,10," Never-married"," Craft-repair"," Own-child"," Asian-Pac-Islander"," Male",0,1980,40," Philippines"," <=50K"
23," Private",81281,10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
42," Local-gov",340148,10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
45," Private",45857,9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,28," United-States"," <=50K"
20," Private",298227,10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
51," Private",56915,9," Married-civ-spouse"," Craft-repair"," Husband"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
17," ?",258872,7," Never-married"," ?"," Own-child"," White"," Female",0,0,5," United-States"," <=50K"
45," Self-emp-inc",197332,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,55," United-States"," >50K"
60," Private",245062,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
30," Private",180374,9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
24," Private",170070,13," Never-married"," Tech-support"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
37," Private",126708,9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,60," United-States"," <=50K"
38," Private",33983,10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
60," Private",201965,10," Never-married"," Prof-specialty"," Unmarried"," White"," Male",0,0,40," United-States"," >50K"
22," ?",139883,10," Never-married"," ?"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
35," Private",285020,9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
67," Private",49401,11," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,24," United-States"," <=50K"
46," Private",279196,13," Never-married"," Craft-repair"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
27," Private",161155,6," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",197904,9," Never-married"," Other-service"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
43," Self-emp-not-inc",170721,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
41," Private",193626,9," Married-spouse-absent"," Craft-repair"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
63," ?",401531,2," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
45," Local-gov",164427,13," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
38," Private",91039,13," Married-civ-spouse"," Sales"," Husband"," White"," Male",15024,0,60," United-States"," >50K"
34," Private",187251,9," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,25," United-States"," <=50K"
33," Private",178107,13," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
23," Private",403107,3," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," El-Salvador"," <=50K"
26," Private",64293,10," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
19," Private",249609,10," Never-married"," Protective-serv"," Own-child"," White"," Male",0,0,8," United-States"," <=50K"
39," Private",91996,9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
25," Private",267044,10," Never-married"," Adm-clerical"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,20," United-States"," <=50K"
34," Private",108116,13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"
44," Self-emp-not-inc",202692,14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
44," Private",109339,7," Divorced"," Machine-op-inspct"," Unmarried"," Other"," Female",0,0,46," Puerto-Rico"," <=50K"
26," Private",108658,9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
41," Private",101739,12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,50," United-States"," >50K"
67," Private",231559,15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20051,0,48," United-States"," >50K"
39," Local-gov",207853,8," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
57," Private",190942,2," Widowed"," Priv-house-serv"," Not-in-family"," Black"," Female",0,0,30," United-States"," <=50K"
29," Private",102345,11," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
31," Self-emp-inc",41493,13," Never-married"," Farming-fishing"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
27," Private",201872,10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
32," Private",84179,9," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
58," Private",51662,6," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,8," United-States"," <=50K"
21," Private",259510,9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,36," United-States"," <=50K"
28," Private",184831,10," Never-married"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
46," Self-emp-not-inc",245724,10," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
36," Self-emp-not-inc",27053,9," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
33," Federal-gov",319560,11," Divorced"," Craft-repair"," Unmarried"," Black"," Female",0,0,40," United-States"," >50K"
69," Private",136218,7," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
34," Private",148291,9," Married-civ-spouse"," Tech-support"," Wife"," White"," Female",0,0,32," United-States"," <=50K"
20," Private",27337,9," Never-married"," Handlers-cleaners"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,48," United-States"," <=50K"
45," Private",433665,4," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," Mexico"," <=50K"
29," Self-emp-not-inc",110663,9," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
37," Private",22463,11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1977,40," United-States"," >50K"
29," Private",350162,13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Male",0,0,40," United-States"," >50K"
36," Self-emp-not-inc",28738,12," Divorced"," Sales"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
58," Local-gov",283635,13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
27," Private",181659,9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
18," Private",156764,7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
52," Private",25826,6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1887,47," United-States"," >50K"
42," ?",137390,9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
60," Private",39352,4," Never-married"," Transport-moving"," Not-in-family"," White"," Male",0,0,48," United-States"," >50K"
25," Private",200408,10," Never-married"," Tech-support"," Not-in-family"," White"," Male",2174,0,40," United-States"," <=50K"
49," Private",136455,13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
19," Private",217039,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,28," United-States"," <=50K"
60," Private",51290,4," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
42," Local-gov",175674,5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
51," Private",410114,14," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
29," Private",182521,9," Never-married"," Craft-repair"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
24," Private",247564,9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
27," Private",109881,13," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
30," Private",369027,9," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,45," United-States"," <=50K"
46," Private",102388,15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,45," United-States"," >50K"
29," Private",34383,11," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
47," Private",241832,5," Married-spouse-absent"," Handlers-cleaners"," Unmarried"," White"," Male",0,0,40," El-Salvador"," <=50K"
33," Private",205469,10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
30," Private",103649,13," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",0,0,40," United-States"," >50K"
58," Self-emp-not-inc",35723,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
19," Private",262601,9," Never-married"," Other-service"," Own-child"," White"," Female",0,0,14," United-States"," <=50K"
21," Private",226181,13," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
26," Private",75654,9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"
60," Private",199378,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
36," Private",188563,10," Married-civ-spouse"," Sales"," Husband"," White"," Male",5178,0,50," United-States"," >50K"
31," Local-gov",402089,9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
71," Private",78277,9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,15," United-States"," <=50K"
44," Private",219288,4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
43," Private",174524,9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," >50K"
